ts_ns,syscall,proc_name,tid,evt_cpu
1777962521428848775,getegid,bash,11303,0
1777962521428850596,getuid,bash,11303,0
1777962521428851382,geteuid,bash,11303,0
1777962521428852158,getgid,bash,11303,0
1777962521428852944,getegid,bash,11303,0
1777962521428862925,newfstatat,bash,11303,0
1777962521428863751,newfstatat,bash,11303,0
1777962521428876278,newfstatat,bash,11303,0
1777962521428885165,newfstatat,bash,11303,0
1777962521428908320,access,bash,11303,0
1777962521428914360,access,bash,11303,0
1777962521428938451,openat,bash,11303,0
1777962521428957715,newfstatat,bash,11303,0
1777962521428958859,read,bash,11303,0
1777962521428969874,read,bash,11303,0
1777962521429001308,close,bash,11303,0
1777962521429009448,ioctl,bash,11303,0
1777962521429011120,ioctl,bash,11303,0
1777962521429055380,ioctl,bash,11303,0
1777962521429101700,brk,bash,11303,0
1777962521429113183,prlimit,bash,11303,0
1777962521429175853,rt_sigprocmask,bash,11303,0
1777962521429177445,openat,bash,11303,0
1777962521429189535,newfstatat,bash,11303,0
1777962521429194560,read,bash,11303,0
1777962521429198003,close,bash,11303,0
1777962521429205485,rt_sigprocmask,bash,11303,0
1777962521429326645,<unknown>,bash,11303,0
1777962521429440311,newfstatat,bash,11303,0
1777962521429453744,newfstatat,bash,11303,0
1777962521429462113,rt_sigprocmask,bash,11303,0
1777962521429468521,rt_sigprocmask,bash,11303,0
1777962521429487168,pipe,bash,11303,0
1777962521429499785,rt_sigprocmask,bash,11303,0
1777962521429501268,rt_sigprocmask,bash,11303,0
1777962521429502502,rt_sigprocmask,bash,11303,0
1777962521429503478,rt_sigprocmask,bash,11303,0
1777962521429504741,rt_sigaction,bash,11303,0
1777962521429507338,clone,bash,11303,0
1777962521429720869,rt_sigaction,bash,11303,0
1777962521429737755,rt_sigprocmask,bash,11303,0
1777962521429739277,rt_sigaction,bash,11303,0
1777962521429744462,close,bash,11303,0
1777962521429750204,rt_sigprocmask,bash,11303,0
1777962521429752104,read,bash,11303,0
1777962521429763249,set_robust_list,bash,11304,1
1777962521429768811,switch,bash,11303,0
1777962521429803320,getpid,bash,11304,1
1777962521429811748,rt_sigprocmask,bash,11304,1
1777962521429817410,rt_sigaction,bash,11304,1
1777962521429819171,rt_sigaction,bash,11304,1
1777962521429820216,rt_sigaction,bash,11304,1
1777962521429829082,rt_sigaction,bash,11304,1
1777962521429830316,rt_sigaction,bash,11304,1
1777962521429831440,rt_sigaction,bash,11304,1
1777962521429832554,rt_sigaction,bash,11304,1
1777962521429833918,rt_sigaction,bash,11304,1
1777962521429835161,rt_sigaction,bash,11304,1
1777962521429847113,dup,bash,11304,1
1777962521429850357,close,bash,11304,1
1777962521429851690,close,bash,11304,1
1777962521429894757,rt_sigprocmask,bash,11304,1
1777962521429951117,newfstatat,bash,11304,1
1777962521429971376,newfstatat,bash,11304,1
1777962521429976361,newfstatat,bash,11304,1
1777962521429979804,newfstatat,bash,11304,1
1777962521429982820,newfstatat,bash,11304,1
1777962521429989666,newfstatat,bash,11304,1
1777962521429993686,geteuid,bash,11304,1
1777962521429994840,getegid,bash,11304,1
1777962521429995825,getuid,bash,11304,1
1777962521429996790,getgid,bash,11304,1
1777962521429997775,access,bash,11304,1
1777962521430008213,newfstatat,bash,11304,1
1777962521430012422,geteuid,bash,11304,1
1777962521430013308,getegid,bash,11304,1
1777962521430014094,getuid,bash,11304,1
1777962521430014890,getgid,bash,11304,1
1777962521430015676,access,bash,11304,1
1777962521430020174,newfstatat,bash,11304,1
1777962521430024124,newfstatat,bash,11304,1
1777962521430027975,geteuid,bash,11304,1
1777962521430028801,getegid,bash,11304,1
1777962521430029587,getuid,bash,11304,1
1777962521430030353,getgid,bash,11304,1
1777962521430031140,access,bash,11304,1
1777962521430035160,newfstatat,bash,11304,1
1777962521430039061,geteuid,bash,11304,1
1777962521430039857,getegid,bash,11304,1
1777962521430040623,getuid,bash,11304,1
1777962521430041399,getgid,bash,11304,1
1777962521430042185,access,bash,11304,1
1777962521430077818,rt_sigaction,bash,11304,1
1777962521430079232,rt_sigaction,bash,11304,1
1777962521430080167,rt_sigaction,bash,11304,1
1777962521430081082,rt_sigaction,bash,11304,1
1777962521430081968,rt_sigaction,bash,11304,1
1777962521430082854,rt_sigaction,bash,11304,1
1777962521430083729,rt_sigaction,bash,11304,1
1777962521430084625,rt_sigaction,bash,11304,1
1777962521430085500,rt_sigaction,bash,11304,1
1777962521430086386,rt_sigaction,bash,11304,1
1777962521430087281,rt_sigaction,bash,11304,1
1777962521430088167,rt_sigaction,bash,11304,1
1777962521430089053,rt_sigaction,bash,11304,1
1777962521430089928,rt_sigaction,bash,11304,1
1777962521430090814,rt_sigaction,bash,11304,1
1777962521430091898,rt_sigaction,bash,11304,1
1777962521430093083,rt_sigaction,bash,11304,1
1777962521430094177,rt_sigaction,bash,11304,1
1777962521430095202,rt_sigaction,bash,11304,1
1777962521430097550,execve,bash,11304,1
1777962521430146289,switch,bash,11304,1
1777962521430754591,brk,groups,11304,0
1777962521430862078,arch_prctl,groups,11304,0
1777962521430893731,mmap,groups,11304,0
1777962521430903025,access,groups,11304,0
1777962521430917383,openat,groups,11304,0
1777962521430931722,newfstatat,groups,11304,0
1777962521430937881,mmap,groups,11304,0
1777962521430942022,close,groups,11304,0
1777962521430948838,openat,groups,11304,0
1777962521430959644,read,groups,11304,0
1777962521430964022,pread,groups,11304,0
1777962521430967196,pread,groups,11304,0
1777962521430969226,pread,groups,11304,0
1777962521430971744,newfstatat,groups,11304,0
1777962521430977316,pread,groups,11304,0
1777962521430980112,mmap,groups,11304,0
1777962521430983555,mprotect,groups,11304,0
1777962521430992004,mmap,groups,11304,0
1777962521431003218,mmap,groups,11304,0
1777962521431008710,mmap,groups,11304,0
1777962521431019377,mmap,groups,11304,0
1777962521431037936,close,groups,11304,0
1777962521431050264,mmap,groups,11304,0
1777962521431059478,arch_prctl,groups,11304,0
1777962521431060852,set_tid_address,groups,11304,0
1777962521431061946,set_robust_list,groups,11304,0
1777962521431063090,<unknown>,groups,11304,0
1777962521431142397,mprotect,groups,11304,0
1777962521431173721,mprotect,groups,11304,0
1777962521431186111,mprotect,groups,11304,0
1777962521431207405,prlimit,groups,11304,0
1777962521431225256,munmap,groups,11304,0
1777962521431267894,getrandom,groups,11304,0
1777962521431272322,brk,groups,11304,0
1777962521431273646,brk,groups,11304,0
1777962521431302145,getuid,groups,11304,0
1777962521431303926,getegid,groups,11304,0
1777962521431304970,getgid,groups,11304,0
1777962521431317070,socket,groups,11304,0
1777962521431335818,connect,groups,11304,0
1777962521431356495,close,groups,11304,0
1777962521431365609,socket,groups,11304,0
1777962521431371858,connect,groups,11304,0
1777962521431379083,close,groups,11304,0
1777962521431388755,newfstatat,groups,11304,0
1777962521431396586,newfstatat,groups,11304,0
1777962521431410009,openat,groups,11304,0
1777962521431424309,newfstatat,groups,11304,0
1777962521431431712,read,groups,11304,0
1777962521431449862,read,groups,11304,0
1777962521431455066,newfstatat,groups,11304,0
1777962521431459434,close,groups,11304,0
1777962521431469724,openat,groups,11304,0
1777962521431478341,newfstatat,groups,11304,0
1777962521431483057,lseek,groups,11304,0
1777962521431486013,read,groups,11304,0
1777962521431490560,close,groups,11304,0
1777962521431494102,newfstatat,groups,11304,0
1777962521431498271,getgroups,groups,11304,0
1777962521431499714,getgroups,groups,11304,0
1777962521431502122,write,groups,11304,0
1777962521431516770,close,groups,11304,0
1777962521431519636,close,groups,11304,0
1777962521431524094,exit_group,groups,11304,0
1777962521431622522,procexit,groups,11304,0
1777962521431659262,signaldeliver,bash,11303,0
1777962521431675453,wait4,bash,11303,0
1777962521431688408,wait4,bash,11303,0
1777962521431691314,sigreturn,bash,11303,0
1777962521431701284,read,bash,11303,0
1777962521431704637,close,bash,11303,0
1777962521431714340,rt_sigprocmask,bash,11303,0
1777962521431715982,rt_sigprocmask,bash,11303,0
1777962521431717176,rt_sigaction,bash,11303,0
1777962521431719017,rt_sigaction,bash,11303,0
1777962521431720032,rt_sigprocmask,bash,11303,0
1777962521431845628,<unknown>,bash,11303,0
1777962521431860419,<unknown>,bash,11303,0
1777962521431887504,openat,bash,11303,0
1777962521431891192,newfstatat,bash,11303,0
1777962521431904228,read,bash,11303,0
1777962521431908676,close,bash,11303,0
1777962521431916039,rt_sigprocmask,bash,11303,0
1777962521431997983,openat,bash,11303,0
1777962521432035785,<unknown>,bash,11303,0
1777962521432069955,<unknown>,bash,11303,0
1777962521432248789,<unknown>,bash,11303,0
1777962521432263515,<unknown>,bash,11303,0
1777962521432283901,rt_sigprocmask,bash,11303,0
1777962521432296051,rt_sigprocmask,bash,11303,0
1777962521432300598,pipe,bash,11303,0
1777962521432312061,rt_sigprocmask,bash,11303,0
1777962521432312061,rt_sigprocmask,bash,11303,0
1777962521432312061,rt_sigprocmask,bash,11303,0
1777962521432312061,rt_sigprocmask,bash,11303,0
1777962521432312061,clone,bash,11303,0
1777962521432312061,rt_sigaction,bash,11303,0
1777962521432440697,rt_sigaction,bash,11303,0
1777962521432460970,rt_sigprocmask,bash,11303,0
1777962521432461403,rt_sigaction,bash,11303,0
1777962521432478285,rt_sigprocmask,bash,11303,0
1777962521432478285,read,bash,11303,0
1777962521432478285,close,bash,11303,0
1777962521432497838,set_robust_list,bash,11305,1
1777962521432498355,switch,bash,11303,0
1777962521432529322,getpid,bash,11305,1
1777962521432536864,rt_sigprocmask,bash,11305,1
1777962521432541471,rt_sigaction,bash,11305,1
1777962521432543292,rt_sigaction,bash,11305,1
1777962521432544277,rt_sigaction,bash,11305,1
1777962521432553740,rt_sigaction,bash,11305,1
1777962521432555173,rt_sigaction,bash,11305,1
1777962521432556258,rt_sigaction,bash,11305,1
1777962521432557302,rt_sigaction,bash,11305,1
1777962521432558765,rt_sigaction,bash,11305,1
1777962521432560049,rt_sigaction,bash,11305,1
1777962521432571363,dup,bash,11305,1
1777962521432573940,close,bash,11305,1
1777962521432575254,close,bash,11305,1
1777962521432623276,rt_sigprocmask,bash,11305,1
1777962521432681805,newfstatat,bash,11305,1
1777962521432696203,newfstatat,bash,11305,1
1777962521432700691,newfstatat,bash,11305,1
1777962521432703995,newfstatat,bash,11305,1
1777962521432707895,newfstatat,bash,11305,1
1777962521432713676,newfstatat,bash,11305,1
1777962521432717747,geteuid,bash,11305,1
1777962521432718712,getegid,bash,11305,1
1777962521432719608,getuid,bash,11305,1
1777962521432720523,getgid,bash,11305,1
1777962521432721429,access,bash,11305,1
1777962521432728324,newfstatat,bash,11305,1
1777962521432732344,geteuid,bash,11305,1
1777962521432733140,getegid,bash,11305,1
1777962521432733897,getuid,bash,11305,1
1777962521432734673,getgid,bash,11305,1
1777962521432735459,access,bash,11305,1
1777962521432740046,newfstatat,bash,11305,1
1777962521432744006,newfstatat,bash,11305,1
1777962521432747857,geteuid,bash,11305,1
1777962521432748643,getegid,bash,11305,1
1777962521432749399,getuid,bash,11305,1
1777962521432750185,getgid,bash,11305,1
1777962521432750971,access,bash,11305,1
1777962521432755181,newfstatat,bash,11305,1
1777962521432759081,geteuid,bash,11305,1
1777962521432759867,getegid,bash,11305,1
1777962521432760623,getuid,bash,11305,1
1777962521432761390,getgid,bash,11305,1
1777962521432762235,access,bash,11305,1
1777962521432799710,rt_sigaction,bash,11305,1
1777962521432801003,rt_sigaction,bash,11305,1
1777962521432801939,rt_sigaction,bash,11305,1
1777962521432802844,rt_sigaction,bash,11305,1
1777962521432803750,rt_sigaction,bash,11305,1
1777962521432804635,rt_sigaction,bash,11305,1
1777962521432805531,rt_sigaction,bash,11305,1
1777962521432806436,rt_sigaction,bash,11305,1
1777962521432807332,rt_sigaction,bash,11305,1
1777962521432808227,rt_sigaction,bash,11305,1
1777962521432809133,rt_sigaction,bash,11305,1
1777962521432810028,rt_sigaction,bash,11305,1
1777962521432810925,rt_sigaction,bash,11305,1
1777962521432811810,rt_sigaction,bash,11305,1
1777962521432812706,rt_sigaction,bash,11305,1
1777962521432813731,rt_sigaction,bash,11305,1
